lbd,S,freq
7.58e-07,-47.5985666,395504562005277.06
7.582e-07,-120.0,395400234766552.4
7.584e-07,-54.5185031,395295962552742.6
7.586e-07,-50.3042137,395191745320326.9
7.588e-07,-50.5774114,395087583025830.25
7.59e-07,-120.0,394983475625823.5
7.592e-07,-120.0,394879423076923.06
7.594e-07,-45.3692629,394775425335791.44
7.596e-07,-120.0,394671482359136.4
7.598e-07,-120.0,394567594103711.5
7.6e-07,-62.8874515,394463760526315.75
7.602e-07,-48.0807445,394359981583793.7
7.604e-07,-120.0,394256257233035.25
7.606e-07,-49.290957,394152587430975.56
7.608e-07,-55.8630033,394048972134595.2
7.61e-07,-48.5771991,393945411300919.8
7.612e-07,-120.0,393841904887020.5
7.614e-07,-48.3787254,393738452850013.1
7.616e-07,-45.9177877,393635055147058.8
7.618e-07,-120.0,393531711735363.6
7.62e-07,-50.4728355,393428422572178.5
7.622e-07,-57.5827191,393325187614799.25
7.624e-07,-120.0,393222006820566.6
7.626e-07,-120.0,393118880146866.0
7.628e-07,-120.0,393015807551127.44
7.63e-07,-120.0,392912788990825.7
7.632e-07,-120.0,392809824423480.1
7.634e-07,-120.0,392706913806654.44
7.636e-07,-49.9332673,392604057097957.06
7.638e-07,-48.1579358,392501254255040.56
7.64e-07,-120.0,392398505235602.06
7.642e-07,-120.0,392295809997382.9
7.644e-07,-120.0,392193168498168.5
7.646e-07,-120.0,392090580695788.7
7.648e-07,-120.0,391988046548117.2
7.65e-07,-45.2915447,391885566013071.9
7.652e-07,-120.0,391783139048614.75
7.654e-07,-120.0,391680765612751.5
7.656e-07,-120.0,391578445663531.9
7.658e-07,-120.0,391476179159049.3
7.66e-07,-48.6557248,391373966057441.25
7.662e-07,-55.8563301,391271806316888.56
7.664e-07,-46.931346,391169699895615.9
7.666e-07,-48.0884271,391067646751891.5
7.668e-07,-45.8112626,390965646844027.1
7.67e-07,-120.0,390863700130378.06
7.672e-07,-120.0,390761806569343.06
7.674e-07,-55.0675028,390659966119364.1
7.676e-07,-48.2430387,390558178738926.56
7.678e-07,-120.0,390456444386559.0
7.68e-07,-49.295093,390354763020833.3
7.682e-07,-120.0,390253134600364.5
7.684e-07,-120.0,390151559083810.5
7.686e-07,-47.4045681,390050036429872.5
7.688e-07,-48.1635579,389948566597294.5
7.69e-07,-120.0,389847149544863.5
7.692e-07,-120.0,389745785231409.25
7.694e-07,-120.0,389644473615804.5
7.696e-07,-120.0,389543214656964.6
7.698e-07,-50.7412167,389442008313847.75
7.7e-07,-49.5665926,389340854545454.5
7.702e-07,-120.0,389239753310828.4
7.704e-07,-120.0,389138704569055.06
7.706e-07,-120.0,389037708279262.94
7.708e-07,-49.1731985,388936764400622.75
7.71e-07,-120.0,388835872892347.6
7.712e-07,-50.0807413,388735033713692.94
7.714e-07,-120.0,388634246823956.44
7.716e-07,-51.1610525,388533512182478.0
7.718e-07,-120.0,388432829748639.56
7.72e-07,-58.6566562,388332199481865.3
7.722e-07,-120.0,388231621341621.4
7.724e-07,-45.6308121,388131095287415.8
7.726e-07,-120.0,388030621278798.9
7.728e-07,-56.5990008,387930199275362.3
7.73e-07,-120.0,387829829236739.94
7.732e-07,-120.0,387729511122607.4
7.734e-07,-52.274057,387629244892681.7
7.736e-07,-120.0,387529030506721.8
7.738e-07,-120.0,387428867924528.3
7.74e-07,-54.6461351,387328757105943.1
7.742e-07,-120.0,387228698010849.9
7.744e-07,-51.455192,387128690599173.5
7.746e-07,-51.8466472,387028734830880.5
7.748e-07,-120.0,386928830665978.3
7.75e-07,-120.0,386828978064516.1
7.752e-07,-51.0938248,386729176986584.1
7.754e-07,-120.0,386629427392313.6
7.756e-07,-52.787339,386529729241877.25
7.758e-07,-120.0,386430082495488.5
7.76e-07,-54.8947946,386330487113402.06
7.762e-07,-48.205983,386230943055913.44
7.764e-07,-120.0,386131450283359.1
7.766e-07,-54.7199643,386032008756116.4
7.768e-07,-54.6417922,385932618434603.5
7.77e-07,-47.7869139,385833279279279.25
7.772e-07,-46.9308052,385733991250643.3
7.774e-07,-120.0,385634754309235.94
7.776e-07,-44.8476837,385535568415637.9
7.778e-07,-120.0,385436433530470.56
7.78e-07,-48.3670208,385337349614395.9
7.782e-07,-120.0,385238316628116.1
7.784e-07,-48.1888228,385139334532374.06
7.786e-07,-120.0,385040403287952.7
7.788e-07,-120.0,384941522855675.44
7.79e-07,-120.0,384842693196405.7
7.792e-07,-120.0,384743914271047.25
7.794e-07,-56.3767907,384645186040544.0
7.796e-07,-120.0,384546508465879.94
7.798e-07,-53.2026455,384447881508079.0
7.8e-07,-120.0,384349305128205.1
7.802e-07,-120.0,384250779287362.25
7.804e-07,-49.8827804,384152303946694.0
7.806e-07,-48.8945574,384053879067384.06
7.808e-07,-50.528957,383955504610655.75
7.81e-07,-49.7480227,383857180537772.06
7.812e-07,-120.0,383758906810035.8
7.814e-07,-56.1993423,383660683388789.3
7.816e-07,-54.4014162,383562510235414.56
7.818e-07,-120.0,383464387311332.8
7.82e-07,-49.5753129,383366314578005.1
7.822e-07,-47.2068055,383268291996931.75
7.824e-07,-120.0,383170319529652.3
7.826e-07,-120.0,383072397137745.94
7.828e-07,-51.8562919,382974524782830.8
7.83e-07,-120.0,382876702426564.5
7.832e-07,-50.2747912,382778930030643.5
7.834e-07,-120.0,382681207556803.7
7.836e-07,-120.0,382583534966819.8
7.838e-07,-52.2877627,382485912222505.75
7.84e-07,-48.9401727,382388339285714.25
7.842e-07,-47.7004577,382290816118337.1
7.844e-07,-120.0,382193342682304.94
7.846e-07,-120.0,382095918939587.06
7.848e-07,-120.0,381998544852191.6
7.85e-07,-120.0,381901220382165.6
7.852e-07,-48.7774709,381803945491594.5
7.854e-07,-120.0,381706720142602.5
7.856e-07,-64.0152827,381609544297352.3
7.858e-07,-48.635108,381512417918045.3
7.86e-07,-49.5287645,381415340966921.1
7.862e-07,-58.5591495,381318313406257.94
7.864e-07,-120.0,381221335198372.3
7.866e-07,-120.0,381124406305619.1
7.868e-07,-120.0,381027526690391.44
7.87e-07,-120.0,380930696315120.7
7.872e-07,-53.7813206,380833915142276.44
7.874e-07,-57.3940016,380737183134366.3
7.876e-07,-48.5135854,380640500253936.0
7.878e-07,-120.0,380543866463569.44
7.88e-07,-120.0,380447281725888.3
7.882e-07,-51.6888486,380350746003552.4
7.884e-07,-50.3162245,380254259259259.25
7.886e-07,-56.499754,380157821455744.4
7.888e-07,-53.1269448,380061432555780.94
7.89e-07,-120.0,379965092522180.0
7.892e-07,-120.0,379868801317790.2
7.894e-07,-56.302504,379772558905497.8
7.896e-07,-120.0,379676365248226.94
7.898e-07,-120.0,379580220308938.94
7.9e-07,-48.9402093,379484124050632.94
7.902e-07,-120.0,379388076436345.25
7.904e-07,-49.967312,379292077429149.8
7.906e-07,-50.036448,379196126992157.9
7.908e-07,-55.1681193,379100225088517.94
7.91e-07,-120.0,379004371681415.94
7.912e-07,-51.6682579,378908566734074.8
7.914e-07,-51.4982677,378812810209754.9
7.916e-07,-120.0,378717102071753.44
7.918e-07,-51.3286273,378621442283404.94
7.92e-07,-54.5661498,378525830808080.8
7.922e-07,-48.944108,378430267609189.56
7.924e-07,-120.0,378334752650176.7
7.926e-07,-53.2930586,378239285894524.3
7.928e-07,-120.0,378143867305751.8
7.93e-07,-53.8143423,378048496847414.9
7.932e-07,-60.9099578,377953174483106.44
7.934e-07,-58.5289028,377857900176455.75
7.936e-07,-60.4772,377762673891129.0
7.938e-07,-120.0,377667495590828.94
7.94e-07,-120.0,377572365239294.7
7.942e-07,-120.0,377477282800302.2
7.944e-07,-55.9198332,377382248237663.7
7.946e-07,-57.1267903,377287261515227.8
7.948e-07,-120.0,377192322596879.75
7.95e-07,-120.0,377097431446540.9
7.952e-07,-120.0,377002588028169.0
7.954e-07,-50.4800198,376907792305758.06
7.956e-07,-51.1894588,376813044243338.4
7.958e-07,-44.6585871,376718343804976.1
7.96e-07,-48.9397981,376623690954773.9
7.962e-07,-120.0,376529085656870.1
7.964e-07,-59.4957213,376434527875439.5
7.966e-07,-47.1004201,376340017574692.44
7.968e-07,-51.314957,376245554718875.5
7.97e-07,-46.7273719,376151139272271.06
7.972e-07,-120.0,376056771199197.2
7.974e-07,-53.4614586,375962450464008.06
7.976e-07,-50.0866782,375868177031093.3
7.978e-07,-120.0,375773950864878.44
7.98e-07,-47.5614575,375679771929824.56
7.982e-07,-120.0,375585640190428.44
7.984e-07,-66.9367987,375491555611222.44
7.986e-07,-48.2910666,375397518156774.4
7.988e-07,-120.0,375303527791687.56
7.99e-07,-53.4367145,375209584480600.75
7.992e-07,-120.0,375115688188188.2
7.994e-07,-52.0942575,375021838879159.4
7.996e-07,-120.0,374928036518259.1
7.998e-07,-45.3011053,374834281070267.56
8e-07,-120.0,374740572500000.0
8.002e-07,-61.2669578,374646910772306.94
8.004e-07,-120.0,374553295852073.94
8.006e-07,-58.5439109,374459727704221.8
8.008e-07,-120.0,374366206293706.3
8.01e-07,-120.0,374272731585518.06
8.012e-07,-120.0,374179303544683.0
8.014e-07,-120.0,374085922136261.56
8.016e-07,-120.0,373992587325349.3
8.018e-07,-120.0,373899299077076.56
8.02e-07,-120.0,373806057356608.5
8.022e-07,-50.2599358,373712862129144.8
8.024e-07,-120.0,373619713359920.25
8.026e-07,-120.0,373526611014203.9
8.028e-07,-120.0,373433555057299.5
8.03e-07,-120.0,373340545454545.44
8.032e-07,-49.0525743,373247582171314.75
8.034e-07,-120.0,373154665173014.7
8.036e-07,-49.3736868,373061794425087.1
8.038e-07,-46.1907512,372968969893008.2
8.04e-07,-49.6658194,372876191542288.56
8.042e-07,-67.1828062,372783459338473.06
8.044e-07,-52.7048858,372690773247140.75
8.046e-07,-120.0,372598133233905.06
8.048e-07,-56.3888321,372505539264413.5
8.05e-07,-51.5339627,372412991304347.8
8.052e-07,-48.4261958,372320489319423.75
8.054e-07,-120.0,372228033275391.06
8.056e-07,-54.5079308,372135623138033.8
8.058e-07,-120.0,372043258873169.56
8.06e-07,-64.0012203,371950940446650.1
8.062e-07,-57.3087523,371858667824361.2
8.064e-07,-120.0,371766440972222.2
8.066e-07,-120.0,371674259856186.44
8.068e-07,-52.1378657,371582124442240.94
8.07e-07,-120.0,371490034696406.44
8.072e-07,-49.8093391,371397990584737.4
8.074e-07,-51.0972914,371305992073321.75
8.076e-07,-49.2575777,371214039128281.3
8.078e-07,-61.5329578,371122131715771.25
8.08e-07,-53.9819448,371030269801980.2
8.082e-07,-120.0,370938453353130.4
8.084e-07,-49.2075743,370846682335477.5
8.086e-07,-51.5754397,370754956715310.44
8.088e-07,-120.0,370663276458951.56
8.09e-07,-120.0,370571641532756.5
8.092e-07,-120.0,370480051903114.2
8.094e-07,-53.6381376,370388507536446.75
8.096e-07,-56.7396703,370297008399209.44
8.098e-07,-51.2418756,370205554457890.9
8.1e-07,-120.0,370114145679012.4
8.102e-07,-59.2219064,370022782029128.6
8.104e-07,-120.0,369931463474827.25
8.106e-07,-53.0722914,369840189982728.8
8.108e-07,-48.7979648,369748961519486.94
8.11e-07,-54.1819807,369657778051787.9
8.112e-07,-120.0,369566639546351.1
8.114e-07,-70.9010506,369475545969928.5
8.116e-07,-49.1588855,369384497289305.06
8.118e-07,-49.9224709,369293493471298.4
8.12e-07,-120.0,369202534482758.6
8.122e-07,-49.6486868,369111620290568.8
8.124e-07,-120.0,369020750861644.5
8.126e-07,-53.0592137,368929926162933.8
8.128e-07,-53.6246472,368839146161417.3
8.13e-07,-55.7664167,368748410824108.25
8.132e-07,-120.0,368657720118052.1
8.134e-07,-120.0,368567074010327.0
8.136e-07,-120.0,368476472468043.25
8.138e-07,-120.0,368385915458343.56
8.14e-07,-120.0,368295402948402.94
8.142e-07,-50.2912664,368204934905428.6
8.144e-07,-47.490439,368114511296660.1
8.146e-07,-120.0,368024132089369.0
8.148e-07,-49.4625743,367933797250859.1
8.15e-07,-50.8129966,367843506748466.25
8.152e-07,-120.0,367753260549558.4
8.154e-07,-120.0,367663058621535.44
8.156e-07,-120.0,367572900931829.3
8.158e-07,-120.0,367482787447903.9
8.16e-07,-54.6563383,367392718137254.9
8.162e-07,-120.0,367302692967409.94
8.164e-07,-120.0,367212711905928.44
8.166e-07,-120.0,367122774920401.6
8.168e-07,-48.5987794,367032881978452.5
8.17e-07,-120.0,366943033047735.6
8.172e-07,-48.0672662,366853228095937.4
8.174e-07,-62.6336749,366763467090775.6
8.176e-07,-50.0104328,366673750000000.0
8.178e-07,-60.8486531,366584076791391.5
8.18e-07,-52.1284588,366494447432762.8
8.182e-07,-120.0,366404861891958.0
8.184e-07,-120.0,366315320136852.44
8.186e-07,-51.0609052,366225822135353.06
8.188e-07,-120.0,366136367855398.1
8.19e-07,-47.1109084,366046957264957.25
8.192e-07,-57.872755,365957590332031.25
8.194e-07,-120.0,365868267024652.2
8.196e-07,-51.8365271,365778987310883.4
8.198e-07,-120.0,365689751158819.25
8.2e-07,-120.0,365600558536585.4
8.202e-07,-48.0505444,365511409412338.44
8.204e-07,-47.7496824,365422303754266.2
8.206e-07,-51.8304661,365333241530587.4
8.208e-07,-120.0,365244222709551.6
8.21e-07,-120.0,365155247259439.75
8.212e-07,-120.0,365066315148563.06
8.214e-07,-52.5150891,364977426345264.2
8.216e-07,-120.0,364888580817916.25
8.218e-07,-46.7462288,364799778534923.3
8.22e-07,-120.0,364711019464720.2
8.222e-07,-120.0,364622303575772.3
8.224e-07,-46.6403769,364533630836575.9
8.226e-07,-60.6407206,364445001215657.7
8.228e-07,-120.0,364356414681575.1
8.23e-07,-120.0,364267871202916.2
8.232e-07,-48.0898121,364179370748299.3
8.234e-07,-120.0,364090913286373.56
8.236e-07,-49.0362594,364002498785818.3
8.238e-07,-50.6286346,363914127215343.56
8.24e-07,-120.0,363825798543689.3
8.242e-07,-120.0,363737512739626.3
8.244e-07,-120.0,363649269771955.4
8.246e-07,-51.8141985,363561069609507.6
8.248e-07,-55.0217234,363472912221144.5
8.25e-07,-50.880267,363384797575757.56
8.252e-07,-120.0,363296725642268.56
8.254e-07,-120.0,363208696389629.3
8.256e-07,-52.6794897,363120709786821.7
8.258e-07,-53.1951303,363032765802857.8
8.26e-07,-120.0,362944864406779.6
8.262e-07,-120.0,362857005567659.1
8.264e-07,-120.0,362769189254598.25
8.266e-07,-55.4979308,362681415436728.8
8.268e-07,-54.3856478,362593684083212.4
8.27e-07,-120.0,362505995163240.6
8.272e-07,-120.0,362418348646034.8
8.274e-07,-51.8148033,362330744500846.0
8.276e-07,-51.1248833,362243182696955.06
8.278e-07,-120.0,362155663203672.4
8.28e-07,-120.0,362068185990338.2
8.282e-07,-120.0,361980751026322.2
8.284e-07,-48.9396362,361893358281023.7
8.286e-07,-52.0521988,361806007723871.56
8.288e-07,-57.9495458,361718699324324.3
8.29e-07,-53.8187915,361631433051869.7
8.292e-07,-57.5548337,361544208876025.06
8.294e-07,-120.0,361457026766337.1
8.296e-07,-51.2245579,361369886692381.9
8.298e-07,-56.5333753,361282788623764.75
8.3e-07,-49.2610521,361195732530120.5
8.302e-07,-53.7682171,361108718381113.0
8.304e-07,-120.0,361021746146435.44
8.306e-07,-120.0,360934815795810.25
8.308e-07,-120.0,360847927298988.94
8.31e-07,-49.5789917,360761080625752.1
8.312e-07,-49.6161665,360674275745909.56
8.314e-07,-120.0,360587512629300.0
8.316e-07,-120.0,360500791245791.25
8.318e-07,-120.0,360414111565280.1
8.32e-07,-50.356553,360327473557692.3
8.322e-07,-59.1893293,360240877192982.5
8.324e-07,-120.0,360154322441134.06
8.326e-07,-120.0,360067809272159.5
8.328e-07,-120.0,359981337656099.94
8.33e-07,-51.9245482,359894907563025.2
8.332e-07,-120.0,359808518963034.06
8.334e-07,-120.0,359722171826253.9
8.336e-07,-65.3182151,359635866122840.7
8.338e-07,-48.9131529,359549601822979.1
8.34e-07,-48.9482662,359463378896882.5
8.342e-07,-120.0,359377197314792.6
8.344e-07,-120.0,359291057046979.9
8.346e-07,-120.0,359204958063743.1
8.348e-07,-53.4360983,359118900335409.7
8.35e-07,-47.2156945,359032883832335.3
8.352e-07,-120.0,358946908524904.25
8.354e-07,-120.0,358860974383528.9
8.356e-07,-63.5526793,358775081378650.06
8.358e-07,-53.7342579,358689229480737.0
8.36e-07,-49.468485,358603418660287.06
8.362e-07,-50.8496868,358517648887825.9
8.364e-07,-120.0,358431920133907.2
8.366e-07,-58.4895037,358346232369113.06
8.368e-07,-120.0,358260585564053.56
8.37e-07,-120.0,358174979689366.8
8.372e-07,-120.0,358089414715719.06
8.374e-07,-55.9749305,358003890613804.6
8.376e-07,-120.0,357918407354345.75
8.378e-07,-120.0,357832964908092.6
8.38e-07,-120.0,357747563245823.4
8.382e-07,-120.0,357662202338344.06
8.384e-07,-51.7741285,357576882156488.56
8.386e-07,-58.3192272,357491602671118.5
8.388e-07,-64.5029988,357406363853123.5
8.39e-07,-48.8094554,357321165673420.75
8.392e-07,-54.3692132,357236008102955.2
8.394e-07,-120.0,357150891112699.56
8.396e-07,-46.3280526,357065814673654.1
8.398e-07,-120.0,356980778756846.9
8.4e-07,-120.0,356895783333333.3
8.402e-07,-53.1469623,356810828374196.6
8.404e-07,-51.3723391,356725913850547.4
8.406e-07,-56.0033423,356641039733523.6
8.408e-07,-49.8582597,356556205994291.2
8.41e-07,-51.4973661,356471412604042.8
8.412e-07,-120.0,356386659533999.06
8.414e-07,-120.0,356301946755407.6
8.416e-07,-120.0,356217274239543.7
8.418e-07,-120.0,356132641957709.6
8.42e-07,-120.0,356048049881235.1
8.422e-07,-57.5781198,355963497981477.1
8.424e-07,-56.2469315,355878986229819.56
8.426e-07,-52.4767251,355794514597673.9
8.428e-07,-120.0,355710083056478.4
8.43e-07,-120.0,355625691577698.7
8.432e-07,-120.0,355541340132827.3
8.434e-07,-120.0,355457028693383.9
8.436e-07,-49.265889,355372757230915.1
8.438e-07,-49.9203315,355288525716994.56
8.44e-07,-120.0,355204334123222.75
8.442e-07,-120.0,355120182421227.2
8.444e-07,-51.9008338,355036070582662.25
8.446e-07,-55.1706301,354951998579209.06
8.448e-07,-52.3126782,354867966382575.75
8.45e-07,-51.6783391,354783973964497.06
8.452e-07,-48.0397423,354700021296734.5
8.454e-07,-50.0463357,354616108351076.44
8.456e-07,-53.1975271,354532235099337.75
8.458e-07,-120.0,354448401513360.1
8.46e-07,-49.1476818,354364607565011.8
8.462e-07,-60.7319123,354280853226187.6
8.464e-07,-72.7389776,354197138468809.06
8.466e-07,-58.0727932,354113463264824.0
8.468e-07,-60.4544635,354029827586206.9
8.47e-07,-53.1347797,353946231404958.7
8.472e-07,-120.0,353862674693106.7
8.474e-07,-120.0,353779157422704.75
8.476e-07,-57.6404176,353695679565832.94
8.478e-07,-120.0,353612241094597.8
8.48e-07,-120.0,353528841981132.06
8.482e-07,-120.0,353445482197594.94
8.484e-07,-120.0,353362161716171.6
8.486e-07,-120.0,353278880509073.75
8.488e-07,-120.0,353195638548539.1
8.49e-07,-120.0,353112435806831.56
8.492e-07,-120.0,353029272256241.2
8.494e-07,-55.5656306,352946147869084.06
8.496e-07,-55.0358867,352863062617702.44
8.498e-07,-120.0,352780016474464.56
8.5e-07,-58.1821189,352697009411764.7
8.502e-07,-51.896108,352614041402023.06
8.504e-07,-62.7056545,352531112417685.75
8.506e-07,-120.0,352448222431225.06
8.508e-07,-120.0,352365371415138.7
8.51e-07,-120.0,352282559341950.6
8.512e-07,-120.0,352199786184210.5
8.514e-07,-120.0,352117051914493.75
8.516e-07,-60.249077,352034356505401.56
8.518e-07,-120.0,351951699929560.94
8.52e-07,-50.2032432,351869082159624.44
8.522e-07,-56.2387419,351786503168270.4
8.524e-07,-120.0,351703962928202.75
8.526e-07,-50.3804204,351621461412151.06
8.528e-07,-61.5969049,351538998592870.56
